FL_DATE,AIRLINE,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,AIR_TIME,DISTANCE,DELAY_CATEGORY,ORIGIN_CITY_NAME,ORIGIN_STATE,DEST_CITY_NAME,DEST_STATE
2020-03-21,Southwest Airlines Co.,WN,19393,4515,LGB,SMF,1150,1144.0,-6.0,1315,1258.0,-17.0,0,,0,63.0,387,No Delay,Long Beach,CA,Sacramento,CA
2020-07-17,JetBlue Airways,B6,20409,311,BOS,ORD,829,817.0,-12.0,1019,956.0,-23.0,0,,0,126.0,867,No Delay,Boston,MA,Chicago,IL
2023-05-19,Alaska Airlines Inc.,AS,19930,397,MCO,SAN,1750,1752.0,2.0,2000,1956.0,-4.0,0,,0,277.0,2149,No Delay,Orlando,FL,San Diego,CA
2020-03-26,Envoy Air,MQ,20398,3342,AVP,ORD,620,618.0,-2.0,747,755.0,8.0,0,,0,111.0,632,No Delay,Scranton/Wilkes-Barre,PA,Chicago,IL
2019-12-17,Southwest Airlines Co.,WN,19393,1370,TUS,LAS,545,541.0,-4.0,600,609.0,9.0,0,,0,63.0,365,No Delay,Tucson,AZ,Las Vegas,NV
2023-06-07,American Airlines Inc.,AA,19805,543,MIA,CLT,1309,1305.0,-4.0,1522,1515.0,-7.0,0,,0,89.0,650,No Delay,Miami,FL,Charlotte,NC
2019-10-08,Southwest Airlines Co.,WN,19393,2510,DAL,PHX,1735,1736.0,1.0,1815,1801.0,-14.0,0,,0,133.0,879,No Delay,Dallas,TX,Phoenix,AZ
2019-11-13,Southwest Airlines Co.,WN,19393,887,TPA,RDU,2045,2038.0,-7.0,2230,2208.0,-22.0,0,,0,80.0,587,No Delay,Tampa,FL,Raleigh/Durham,NC
2019-10-24,SkyWest Airlines Inc.,OO,20304,5449,SFO,BOI,902,1022.0,80.0,1152,1256.0,64.0,0,,0,73.0,522,Carrier,San Francisco,CA,Boise,ID
2022-04-07,Horizon Air,QX,19687,2096,ALW,SEA,1547,1557.0,10.0,1652,1706.0,14.0,0,,0,53.0,213,No Delay,Walla Walla,WA,Seattle,WA
2019-11-05,Envoy Air,MQ,20398,3629,ORD,RST,1635,1633.0,-2.0,1750,1746.0,-4.0,0,,0,51.0,268,No Delay,Chicago,IL,Rochester,MN
2023-01-11,Alaska Airlines Inc.,AS,19930,1176,SEA,SAN,1233,1306.0,33.0,1515,1550.0,35.0,0,,0,136.0,1050,NAS,Seattle,WA,San Diego,CA
2021-06-27,Delta Air Lines Inc.,DL,19790,1482,BDL,ATL,1859,1901.0,2.0,2138,2112.0,-26.0,0,,0,111.0,859,No Delay,Hartford,CT,Atlanta,GA
2021-10-07,Frontier Airlines Inc.,F9,20436,2311,PHL,CHS,1553,1625.0,32.0,1756,1813.0,17.0,0,,0,83.0,550,Carrier,Philadelphia,PA,Charleston,SC
2023-08-30,United Air Lines Inc.,UA,19977,201,HNL,GUM,1425,1419.0,-6.0,1810,1808.0,-2.0,0,,0,448.0,3801,No Delay,Honolulu,HI,Guam,TT
2022-08-31,Southwest Airlines Co.,WN,19393,534,BWI,FLL,2155,2203.0,8.0,25,21.0,-4.0,0,,0,122.0,925,No Delay,Baltimore,MD,Fort Lauderdale,FL
2020-03-20,United Air Lines Inc.,UA,19977,2226,IAH,DEN,530,524.0,-6.0,702,640.0,-22.0,0,,0,117.0,862,No Delay,Houston,TX,Denver,CO
2023-01-01,PSA Airlines Inc.,OH,20397,5187,PHL,BTV,2049,2058.0,9.0,2213,2217.0,4.0,0,,0,59.0,335,No Delay,Philadelphia,PA,Burlington,VT
2021-02-24,Republic Airline,YX,20452,4515,PWM,CLT,1435,1432.0,-3.0,1716,1712.0,-4.0,0,,0,133.0,813,No Delay,Portland,ME,Charlotte,NC
2019-08-02,Delta Air Lines Inc.,DL,19790,508,SAN,SEA,1322,1402.0,40.0,1619,1654.0,35.0,0,,0,138.0,1050,NAS,San Diego,CA,Seattle,WA
2021-09-05,Spirit Air Lines,NK,20416,631,LAX,ATL,600,559.0,-1.0,1330,1325.0,-5.0,0,,0,246.0,1947,No Delay,Los Angeles,CA,Atlanta,GA
2019-03-25,Southwest Airlines Co.,WN,19393,302,LAX,PDX,2205,2204.0,-1.0,30,3.0,-27.0,0,,0,108.0,834,No Delay,Los Angeles,CA,Portland,OR
2021-08-30,SkyWest Airlines Inc.,OO,20304,3853,SLC,MKE,1730,1723.0,-7.0,2137,2109.0,-28.0,0,,0,146.0,1247,No Delay,Salt Lake City,UT,Milwaukee,WI
2019-09-12,Alaska Airlines Inc.,AS,19930,347,OMA,SEA,1820,1831.0,11.0,1955,2014.0,19.0,0,,0,195.0,1368,NAS,Omaha,NE,Seattle,WA
2023-05-15,Southwest Airlines Co.,WN,19393,1696,AUS,PHX,1225,1230.0,5.0,1255,1248.0,-7.0,0,,0,119.0,872,No Delay,Austin,TX,Phoenix,AZ
2021-06-27,Southwest Airlines Co.,WN,19393,5374,MCI,MDW,1140,1138.0,-2.0,1300,1254.0,-6.0,0,,0,62.0,405,No Delay,Kansas City,MO,Chicago,IL
2020-11-12,PSA Airlines Inc.,OH,20397,5687,PHL,DAY,2115,2111.0,-4.0,2313,2310.0,-3.0,0,,0,82.0,477,No Delay,Philadelphia,PA,Dayton,OH
2022-05-08,American Airlines Inc.,AA,19805,839,MCO,LAX,1739,1832.0,53.0,2003,2035.0,32.0,0,,0,283.0,2218,Carrier,Orlando,FL,Los Angeles,CA
2022-05-25,Southwest Airlines Co.,WN,19393,2793,AUS,DAL,610,,,710,,,1,B,0,,189,No Delay,Austin,TX,Dallas,TX
2020-07-26,Southwest Airlines Co.,WN,19393,4001,GEG,LAS,715,711.0,-4.0,930,925.0,-5.0,0,,0,113.0,806,No Delay,Spokane,WA,Las Vegas,NV
2022-02-13,United Air Lines Inc.,UA,19977,2644,AUS,IAH,540,539.0,-1.0,641,628.0,-13.0,0,,0,26.0,140,No Delay,Austin,TX,Houston,TX
2019-04-28,JetBlue Airways,B6,20409,177,BOS,LAS,2108,2104.0,-4.0,10,14.0,4.0,0,,0,344.0,2381,No Delay,Boston,MA,Las Vegas,NV
2019-07-28,Alaska Airlines Inc.,AS,19930,187,SEA,ANC,1850,1854.0,4.0,2130,2117.0,-13.0,0,,0,188.0,1448,No Delay,Seattle,WA,Anchorage,AK
2023-04-05,United Air Lines Inc.,UA,19977,406,SEA,LAX,600,551.0,-9.0,846,811.0,-35.0,0,,0,120.0,954,No Delay,Seattle,WA,Los Angeles,CA
2021-04-09,Allegiant Air,G4,20368,2293,SFB,SWF,635,800.0,85.0,913,1031.0,78.0,0,,0,134.0,965,Carrier,Sanford,FL,Newburgh/Poughkeepsie,NY
2021-09-05,JetBlue Airways,B6,20409,100,LAX,FLL,2255,2253.0,-2.0,708,703.0,-5.0,0,,0,284.0,2343,No Delay,Los Angeles,CA,Fort Lauderdale,FL
2022-06-16,Delta Air Lines Inc.,DL,19790,2385,LAX,LAS,1321,1311.0,-10.0,1437,1426.0,-11.0,0,,0,40.0,236,No Delay,Los Angeles,CA,Las Vegas,NV
2020-12-01,SkyWest Airlines Inc.,OO,20304,3637,DTW,MKE,2035,2040.0,5.0,2053,2042.0,-11.0,0,,0,42.0,237,No Delay,Detroit,MI,Milwaukee,WI
2022-07-24,SkyWest Airlines Inc.,OO,20304,4639,BIH,SFO,1449,1442.0,-7.0,1559,1542.0,-17.0,0,,0,40.0,221,No Delay,Bishop,CA,San Francisco,CA
2022-03-22,United Air Lines Inc.,UA,19977,1412,TPA,DEN,1040,1041.0,1.0,1239,1237.0,-2.0,0,,0,209.0,1506,No Delay,Tampa,FL,Denver,CO
2019-01-13,Republic Airline,YX,20452,4688,HHH,CLT,701,659.0,-2.0,808,758.0,-10.0,0,,0,40.0,207,No Delay,Hilton Head,SC,Charlotte,NC
2022-03-04,American Airlines Inc.,AA,19805,2897,STL,DFW,936,928.0,-8.0,1134,1114.0,-20.0,0,,0,83.0,550,No Delay,St. Louis,MO,Dallas/Fort Worth,TX
2022-06-03,Southwest Airlines Co.,WN,19393,4043,DCA,TPA,605,556.0,-9.0,825,803.0,-22.0,0,,0,113.0,814,No Delay,Washington,DC,Tampa,FL
2019-04-17,SkyWest Airlines Inc.,OO,20304,5841,ORD,DSM,830,908.0,38.0,955,1024.0,29.0,0,,0,51.0,299,Carrier,Chicago,IL,Des Moines,IA
2021-11-07,United Air Lines Inc.,UA,19977,423,CID,DEN,835,827.0,-8.0,950,926.0,-24.0,0,,0,100.0,692,No Delay,Cedar Rapids/Iowa City,IA,Denver,CO
2019-01-23,Envoy Air,MQ,20398,4041,SHV,DFW,1234,1228.0,-6.0,1344,1352.0,8.0,0,,0,45.0,190,No Delay,Shreveport,LA,Dallas/Fort Worth,TX
