NAME,LONG,LAT
LGB,-118.1517,33.8022
BOS,-71.0052,42.3656
MCO,-81.3080,28.4294
AVP,-75.7213,41.3389
TUS,-110.9410,32.1167
MIA,-80.2906,25.7957
DAL,-96.8583,32.8472
TPA,-82.5320,27.9754
SFO,-122.3749,37.6189
ALW,-118.2846,46.0922
ORD,-87.9048,41.9786
SEA,-122.3088,47.4502
BDL,-72.6833,41.9389
PHL,-75.2405,39.8739
HNL,-157.9210,21.3187 
BWI,-76.6683,39.1754 
IAH,-95.3414,29.9844 
PWM,-70.3091,43.6464 
SAN,-117.1897,32.7338 
LAX,-118.4085,33.9416 
SLC,-113.0241,40.7851 
OMA,-95.8941,41.3036 
AUS,-97.6700,30.1945 
MCI,-94.7139,39.2975 
GEG,-117.5352,47.6191 
SFB,-81.2375,28.2681 
DTW,-83.3328,42.2126 
BIH,-118.3464,37.3667 
HHH,-80.7000,32.2200 
STL,-90.3656,38.7487 
DCA,-77.0375,38.8512 
CID,-91.5374,41.8848 
SHV,-93.8258,32.4460 
RSW,-81.7553,26.5361 
SBN,-86.3131,41.7082 
MSY,-90.2580,29.9934 
IND,-86.2949,39.7174 
BNA,-86.6817,36.1245 
PSC,-119.1193,46.2641 
CLT,-80.9431,35.2140 
PIT,-80.2323,40.4911 
ATL,-84.4281,33.6367 
GRK,-97.6783,31.6797 
EUG,-123.2127,44.1242 
EWR,-74.1687,40.6895 
DEN,-104.6737,39.8617 
CHS,-80.0402,32.8983 
LGA,-73.8777,40.7769 
DFW,-97.0381,32.8968 
MOB,-88.2440,30.6916 
ORF,-76.2014,36.8912 
JFK,-73.7781,40.6413 
CMH,-82.8910,39.9983 
PBI,-80.0956,26.6833 
PHX,-112.0116,33.4342 
AMA,-101.6833,35.2192 
OGG,-156.4291,20.7983 
SRQ,-82.5535,27.3933 
PDX,-122.5977,45.5888 
BIS,-97.2116,46.7749 
LEX,-84.6055,38.0358 
EAU,-91.4847,44.8671 
RDU,-78.7876,35.8770 
BOI,-116.2228,43.5640 
HOU,-95.2434,29.6448 
CLE,-81.8498,41.4119 
PNS,-87.1860,30.4744 
PVD,-71.4297,41.7388 
LAS,-115.1680,36.0801 
RNO,-119.7688,39.4997 
VPS,-86.5252,30.4078 
COS,-104.7004,38.8058 
FLL,-80.1527,26.0726 
OKC,-97.6006,35.3934 
RAP,-103.0602,44.0461 
MKE,-87.8967,42.9475 
TYS,-83.9932,35.8101 
MGM,-86.3925,32.3000 
BFL,-119.0467,35.4331 
MOT,-101.2956,48.2120 
SAT,-98.4699,29.5339 
ACV,-123.8699,40.9781 
TUL,-95.9071,36.1983 
BUR,-118.3093,34.2006 
JAX,-81.6931,30.4941 
CAK,-81.4429,40.9115 
SNA,-117.8660,33.6756 
MSP,-93.2219,44.8811 
DAY,-84.2193,39.9023 
STS,-122.8104,38.5105 
SMF,-121.5905,38.6954 
MDW,-87.7526,41.7850 
RDM,-121.1501,44.2542 
EYW,-81.7553,24.5561 
