ORIGIN_STATE,DEST_STATE,FLIGHT_COUNT
AK,AZ,3
AK,CA,7
AK,CO,10
AK,GA,1
AK,HI,9
AK,IL,8
AK,MI,1
AK,MN,15
AK,NJ,3
AK,OR,6
AK,TX,2
AK,UT,2
AK,WA,185
AL,CO,20
AL,DC,40
AL,FL,23
AL,GA,142
AL,IL,20
AL,MD,2
AL,MI,6
AL,NC,48
AL,NV,5
AL,NY,9
AL,PA,9
AL,TX,134
AR,AZ,1
AR,CA,10
AR,CO,25
AR,DC,6
AR,FL,9
AR,GA,49
AR,IL,43
AR,MI,1
AR,MN,3
AR,MO,8
AR,NC,30
AR,NJ,2
AR,NV,3
AR,NY,11
AR,PA,1
AR,TX,169
AZ,AK,3
AZ,AR,9
AZ,CA,721
AZ,CO,192
AZ,DC,24
AZ,FL,66
AZ,GA,53
AZ,HI,30
AZ,IA,24
AZ,ID,21
AZ,IL,147
AZ,IN,19
AZ,KS,3
AZ,KY,4
AZ,LA,8
AZ,MA,23
AZ,MD,12
AZ,MI,31
AZ,MN,53
AZ,MO,55
AZ,MT,6
AZ,NC,39
AZ,ND,12
AZ,NE,20
AZ,NJ,31
AZ,NM,47
AZ,NV,147
AZ,NY,37
AZ,OH,23
AZ,OK,37
AZ,OR,80
AZ,PA,32
AZ,SD,12
AZ,TN,28
AZ,TX,311
AZ,UT,127
AZ,WA,137
AZ,WI,36
AZ,WY,1
CA,AK,5
CA,AR,3
CA,AZ,757
CA,CO,660
CA,CT,1
CA,DC,107
CA,FL,207
CA,GA,217
CA,HI,403
CA,IA,4
CA,ID,93
CA,IL,376
CA,IN,11
CA,KS,1
CA,KY,4
CA,LA,36
CA,MA,132
CA,MD,48
CA,MI,103
CA,MN,140
CA,MO,92
CA,MT,27
CA,NC,112
CA,NE,7
CA,NJ,158
CA,NM,50
CA,NV,816
CA,NY,303
CA,OH,39
CA,OK,11
CA,OR,399
CA,PA,76
CA,SD,1
CA,TN,62
CA,TX,885
CA,UT,368
CA,WA,671
CA,WI,4
CA,WY,18
CO,AK,8
CO,AL,24
CO,AR,20
CO,AZ,216
CO,CA,633
CO,CT,8
CO,DC,77
CO,FL,197
CO,GA,105
CO,HI,16
CO,IA,61
CO,ID,43
CO,IL,187
CO,IN,36
CO,KS,45
CO,KY,19
CO,LA,42
CO,MA,45
CO,MD,43
CO,ME,1
CO,MI,61
CO,MN,85
CO,MO,100
CO,MT,96
CO,NC,66
CO,ND,65
CO,NE,48
CO,NJ,49
CO,NM,41
CO,NV,144
CO,NY,104
CO,OH,80
CO,OK,60
CO,OR,79
CO,PA,68
CO,SC,11
CO,SD,56
CO,TN,77
CO,TX,503
CO,UT,174
CO,VA,17
CO,WA,150
CO,WI,51
CO,WY,88
CT,CA,2
CT,CO,10
CT,DC,42
CT,FL,88
CT,GA,22
CT,IL,45
CT,MD,15
CT,MI,26
CT,MN,11
CT,MO,2
CT,NC,31
CT,NY,4
CT,PA,13
CT,PR,10
CT,SC,3
CT,TN,1
CT,TX,9
DC,AL,31
DC,AR,13
DC,AZ,25
DC,CA,130
DC,CO,68
DC,CT,43
DC,FL,331
DC,GA,168
DC,HI,3
DC,IA,10
DC,IL,166
DC,IN,35
DC,KY,27
DC,LA,43
DC,MA,155
DC,ME,33
DC,MI,90
DC,MN,63
